Transaction Search - Company
BMO - Mastercard, Statement Period 05/06/2026 to 06/05/2026

Posting Date   Tran Date        Account                        Supplier       Amount USD
 5/8/2026   5/7/2026 XXXX-XXXX-XXXX-6083   Maverik #5361            $     95.23
 5/8/2026   5/7/2026 XXXX-XXXX-XXXX-0980   Sq Iowa Choral Direct    $    109.00
 5/8/2026   5/7/2026 XXXX-XXXX-XXXX-0980   In Luke McMillan Musi    $   1,220.00
 5/8/2026   5/7/2026 XXXX-XXXX-XXXX-0980   In Luke McMillan Musi    $   1,250.00
 5/8/2026   5/7/2026 XXXX-XXXX-XXXX-9167   Amazon.Com Bv59e7xu1     $    130.41
 5/8/2026   5/7/2026 XXXX-XXXX-XXXX-3556   Wal-Mart #1721           $    133.63
 5/8/2026   5/7/2026 XXXX-XXXX-XXXX-5273   Pyramid Services         $     94.98
 5/8/2026   5/7/2026 XXXX-XXXX-XXXX-5108   Psc Distribution, Inc.   $       6.79
 5/8/2026   5/7/2026 XXXX-XXXX-XXXX-8548   Kruger Prof Resources    $    900.00
 5/8/2026   5/7/2026 XXXX-XXXX-XXXX-1909   Rememberme Yearbooks C   $    666.90
 5/8/2026   5/7/2026 XXXX-XXXX-XXXX-2589   Jersey Mikes 38033       $    213.43
 5/8/2026   5/8/2026 XXXX-XXXX-XXXX-5173   Amazon.Com Bj2p10w60     $     79.99
 5/8/2026   5/8/2026 XXXX-XXXX-XXXX-9199   Amazon Mktpl Bj8fu5yu0   $     90.24
 5/8/2026   5/8/2026 XXXX-XXXX-XXXX-6253   Rio Grande Inc           $     97.05
5/11/2026   5/7/2026 XXXX-XXXX-XXXX-5420   Caseys #2421             $    268.27
5/11/2026   5/7/2026 XXXX-XXXX-XXXX-4247   Van Meter Inc - Iowa C   $    625.04
5/11/2026   5/7/2026 XXXX-XXXX-XXXX-1519   Napa Store 3137142       $     20.97
5/11/2026   5/7/2026 XXXX-XXXX-XXXX-5669   Hotel Fort Des Moines    $    267.50
5/11/2026   5/8/2026 XXXX-XXXX-XXXX-5166   Maverik #5075            $     33.01
5/11/2026   5/8/2026 XXXX-XXXX-XXXX-5173   Culvers                  $     75.76
5/11/2026   5/8/2026 XXXX-XXXX-XXXX-3697   Subway 28736             $    457.50
