Account                     Transaction Date   Supplier - Name          Transaction - Description                                                                                        Amount
10 0403 1100 100 0000 612   05/04/2026         Amazon Mktpl Bs8yw0wb0   Tru-Ray Construction Paper                                                                                                 15.96
21 0213 1900 950 7015 611   05/04/2026         Amazon Mktpl Bv9oy29d2   NWMS Library MakerSpace items                                                                                              14.36
10 0447 2410 000 0000 611   05/04/2026         Amazon Mktpl Bv4h982d2   Large heavy duty hanging hooks (10 pack)                                                                                    8.99
10 0213 1200 218 3303 612   05/04/2026         Walmart.Com              Edibles for SID:                                                                                                           10.38
10 0493 1100 100 0000 612   05/04/2026         Amazon Mktpl Bv2ww2dg2   Bandages, 500 pk. binder rings                                                                                             75.16
10 0109 1200 218 3303 612   05/04/2026         Walmart.Com              Edibles for SID: 4448038584                                                                                                13.66
21 0218 1900 950 7210 611   05/04/2026         Amazon Mktpl Bj0al2aw0   Pier Debes-Choir-Garment Rack                                                                                              73.96
10 0109 1100 108 0000 612   05/04/2026         Amazon.Com Bv3la9i82     General Phys Ed Classroom Supplies: Franklin Junior Size Rubber Fooballs Adidas Club Soccer Balls (3)                      98.99
21 0118 1900 921 6725 611   05/04/2026         Jersey Mikes 38033       Purchase Jersey Mikes 38033                                                                                               391.30
10 0445 1100 100 0000 612   05/04/2026         Sp Wipebook Corp.        Purchase Sp Wipebook Corp.                                                                                                 77.41
21 0118 1900 950 7250 611   05/04/2026         Ckeychainnow 884870529   Staff Gifts for End or the Year                                                                                           175.49
10 0000 1100 460 3117 612   05/04/2026   Amazon Mktpl Bv2574it2   Preschool Supplies: Tissues (3) Plastic Spoons (5) Paper Cups (5)                                               252.86
10 0497 1100 100 9996 615   05/04/2026   Amazon Mktpl Bs8zp9wf0   Tru-Ray Heavyweight Construction Paper - PTO will reimburse                                                      72.80
36 0000 4700 000 8750 450   05/04/2026   Sherwin-Williams703783   WO 212900 roller covers                                                                                          61.24
21 0432 1900 950 7015 611   05/04/2026   Amazon.Com Bs9ze1r50     Borlaug Library books                                                                                           255.65
21 0109 1900 923 6601 611   05/04/2026   Athleticlive             Live Results for TF SQM                                                                                          39.00
10 0114 1300 355 0000 612   05/04/2026   Fareway Meat And Groce   Supplies for pasta labs                                                                                          90.35
21 0109 1900 950 7015 611   05/04/2026   Amazon.Com Bj7mo2kh1     City HS Library books                                                                                           544.91
10 0445 2410 000 0000 611   05/04/2026   Amazon Mktpl Bj4cm5e10   Recess balls: 3 pc Sports ball set (Qty 3)                                                                       80.97
