meeting_date,meeting_id,document_name,file_size_bytes,filename
2025-01-14,30971,12-17-2024DetailCheckRegister.pdf,219267,2025-01-14__12-17-2024DetailCheckRegister.pdf
2025-01-14,30971,12-18-2024BoardReport10003.pdf,8868,2025-01-14__12-18-2024BoardReport10003.pdf
2025-01-14,30971,12-18-2024CheckRegisterbyCheckingAccount.pdf,5935,2025-01-14__12-18-2024CheckRegisterbyCheckingAccount.pdf
2025-01-14,30971,12-18-2024DetailCheckRegister.pdf,6150,2025-01-14__12-18-2024DetailCheckRegister.pdf
2025-01-14,30971,12-19-2024BoardReport10003.pdf,9576,2025-01-14__12-19-2024BoardReport10003.pdf
2025-01-14,30971,12-19-2024CheckRegisterbyCheckingAccount.pdf,5936,2025-01-14__12-19-2024CheckRegisterbyCheckingAccount.pdf
2025-01-14,30971,12-19-2024DetailCheckRegister.pdf,6560,2025-01-14__12-19-2024DetailCheckRegister.pdf
2025-01-14,30971,12-20-2024BoardReport10003.pdf,8910,2025-01-14__12-20-2024BoardReport10003.pdf
2025-01-14,30971,12-20-2024CheckRegisterbyCheckingAccount.pdf,5946,2025-01-14__12-20-2024CheckRegisterbyCheckingAccount.pdf
2025-01-14,30971,12-20-2024DetailCheckRegister.pdf,6165,2025-01-14__12-20-2024DetailCheckRegister.pdf
2025-01-14,30971,Accounts_Payable_Summaries - 20241210.pdf,47362,2025-01-14__Accounts_Payable_Summaries - 20241210.pdf
2025-01-28,26102,1-14-2025BoardReport10003.pdf,66669,2025-01-28__1-14-2025BoardReport10003.pdf
2025-01-28,26102,1-14-2025CheckRegisterbyCheckingAccount.pdf,12759,2025-01-28__1-14-2025CheckRegisterbyCheckingAccount.pdf
2025-01-28,26102,1-14-2025DetailCheckRegister.pdf,55633,2025-01-28__1-14-2025DetailCheckRegister.pdf
2025-01-28,26102,1-21-2025BoardReport10003.pdf,219735,2025-01-28__1-21-2025BoardReport10003.pdf
2025-01-28,26102,1-21-2025CheckRegisterbyCheckingAccount.pdf,27348,2025-01-28__1-21-2025CheckRegisterbyCheckingAccount.pdf
2025-01-28,26102,1-21-2025DetailCheckRegister.pdf,167034,2025-01-28__1-21-2025DetailCheckRegister.pdf
2025-01-28,26102,Accounts_Payable_Summaries - 20250128.pdf,47735,2025-01-28__Accounts_Payable_Summaries - 20250128.pdf
2025-02-11,30975,1-28-2025BoardReport10003.pdf,72621,2025-02-11__1-28-2025BoardReport10003.pdf
2025-02-11,30975,1-28-2025CheckRegisterbyCheckingAccount.pdf,13153,2025-02-11__1-28-2025CheckRegisterbyCheckingAccount.pdf
2025-02-11,30975,1-28-2025DetailCheckRegister.pdf,62954,2025-02-11__1-28-2025DetailCheckRegister.pdf
2025-02-11,30975,2-4-2025BoardReport10003.pdf,206799,2025-02-11__2-4-2025BoardReport10003.pdf
2025-02-11,30975,2-4-2025CheckRegisterbyCheckingAccount.pdf,24417,2025-02-11__2-4-2025CheckRegisterbyCheckingAccount.pdf
2025-02-11,30975,2-4-2025DetailCheckRegister.pdf,149247,2025-02-11__2-4-2025DetailCheckRegister.pdf
2025-02-11,30975,Accounts_Payable_Summaries - 20250211.pdf,48246,2025-02-11__Accounts_Payable_Summaries - 20250211.pdf
2025-02-25,30981,2-11-2025BoardReport10003.pdf,72926,2025-02-25__2-11-2025BoardReport10003.pdf
2025-02-25,30981,2-11-2025CheckRegisterbyCheckingAccount.pdf,13284,2025-02-25__2-11-2025CheckRegisterbyCheckingAccount.pdf
2025-02-25,30981,2-11-2025DetailCheckRegister.pdf,60511,2025-02-25__2-11-2025DetailCheckRegister.pdf
2025-02-25,30981,20250218_BoardReport10003.pdf,228153,2025-02-25__20250218_BoardReport10003.pdf
2025-02-25,30981,20250218_CheckRegisterbyCheckingAccount.pdf,28084,2025-02-25__20250218_CheckRegisterbyCheckingAccount.pdf
